,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,geometry,latitude,longitude
0,1000029100,101,비봉길-진흥로진입로,1,,,5,11110,100,,,POINT (196181.1497999998 556538.8112000003),37.60842435049369,126.95675015496397
1,1000017800,101,파크뷰타워,1,,,5,11110,100,,,POINT (197248.1239999998 552890.1248000003),37.57555379064236,126.96884772359984
2,1000018000,101,적선현대빌딩,1,,,5,11110,100,,,POINT (197587.4173999997 552862.0014999993),37.57530135235347,126.97268874523857
3,1000007300,101,세종로사거리_태평로_진,0,,,5,11110,100,,,POINT (197963.9944000002 552227.1275999993),37.5695820797098,126.97695348723622
4,1000007600,101,세종로사거리_일반국도6,0,,,5,11110,100,,,POINT (197897.6173 552286.2988000009),37.570115060412434,126.97620196380133
5,1000011800,101,행촌빌딩,0,,,5,11110,100,,,POINT (196692.2540999996 552450.4929000009),37.57159090233889,126.96255705058489
6,1000008400,101,금강제화,1,,,5,11110,100,,,POINT (197842.8372 552291.7550000008),37.570164093892444,126.97558186145893
7,1000012200,101,세종로복지센타,1,,,5,11110,100,,,POINT (197458.7237999998 552470.6290000007),37.57177476058749,126.9712332465327
8,1000021700,102,매동초등학교,0,,,5,11110,100,,,POINT (197049.8653999995 553172.5856999997),37.57809813343128,126.96660222502298
9,1000006700,101,동광빌딩,0,,,5,11110,100,,,POINT (198738.1485000001 552109.2686999999),37.56852156172674,126.98571670701418
10,1000007100,101,종로1가_남대문로_진출,0,,,5,11110,100,,,POINT (198491.7925000004 552229.4285000004),37.56960382583417,126.9829278791697
11,1000024100,101,대한불교조계종안국선,0,,,5,11110,100,,,POINT (198684.3514 553751.2863999996),37.58331597536465,126.98510481420756
12,1000023400,101,안송빌딩,0,,,5,11110,100,,,POINT (198332.1108999997 553554.3830999993),37.58154131891567,126.98111735286227
13,1000022600,101,함춘회관,0,,,5,11110,100,,,POINT (200192.4983999999 553383.4200999998),37.5800024430757,127.00217928432122
14,1000021800,101,서울대학교병원,0,,,5,11110,100,,,POINT (199986.9166999999 553280.2324000001),37.57907274815509,126.99985188512716
15,1000021600,101,서울대학교치과대학,0,,,5,11110,100,,,POINT (199824.3563999999 553119.7887999993),37.57762714406573,126.9980115929065
16,1000021300,101,원남빌딩,1,,,5,11110,100,,,POINT (199752.3811999997 553054.1861000005),37.57703605094408,126.99719680599624
17,1000023800,102,옥인시범아파트,0,,,5,11110,100,,,POINT (196737.8125999998 553648.1965999994),37.58238230519515,126.96306743316477
18,1000025300,101,혜화동_창경궁로_진입_1,1,,,5,11110,100,,,POINT (200126.1892999997 554030.0653000008),37.58582868539432,127.00142870691488
19,1000025000,101,혜화동_창경궁로_진출_1,1,,,5,11110,100,,,POINT (200086.4340000004 553971.8293999992),37.585303988580144,127.00097859316692
20,1000024900,101,혜화동_대학로_진입,1,,,5,11110,100,,,POINT (200116.3746999996 553967.9033000004),37.585268611393815,127.00131757679067
21,1000025600,101,혜화동_혜화문길_진입,0,,,5,11110,100,,,POINT (200108.7970000003 554035.4811000004),37.58587748359195,127.00123179324784
22,1000025400,101,혜화동_우암길_진입,0,,,5,11110,100,,,POINT (200086.5100999996 554026.8775999993),37.58579996902308,127.00097946125858
23,1000002000,101,동아일보로터리,0,,,5,11110,100,,,POINT (197977.4589999998 552165.9823000003),37.56903119299191,126.97710606804017
24,1000012500,101,황학교_청계천로_진입,0,,,5,11110,100,,,POINT (202019.2236000001 552505.2913000006),37.5720883582791,127.0228573152681
25,1000011300,101,동대문로터리_일반국도6,0,,,5,11110,100,,,POINT (200712.6717999997 552392.9970999993),37.571078530097566,127.00806723147087
26,1000017400,101,신설동역_일반국도6호선,0,,,5,11110,100,,,POINT (201987.6842999998 552854.1165999994),37.57523132464066,127.02250124063676
27,1000017700,101,신설동역_일반국도6호선,0,,,5,11110,100,,,POINT (201982.3918000003 552864.8863999993),37.57532837135535,127.02244135691808
28,1000027600,101,세검정_세검정길_진입,0,,,5,11110,100,,,POINT (196332.1902999999 555649.6240999997),37.6004134788964,126.95846519687962
29,1000027300,101,세검정_자하문길_진입,0,,,5,11110,100,,,POINT (196359.4848999996 555555.2343000006),37.59956314404383,126.95877475402108
30,1000027500,101,세검정_자하문길_진출,0,,,5,11110,100,,,POINT (196364.1923000002 555566.2723999992),37.59966261490078,126.9588280058717
31,1000028400,101,신영삼거리_진흥로_진출,0,,,5,11110,100,,,POINT (196579.8876999998 556067.5320999995),37.60417974309954,126.96126820512463
32,1000028500,101,신영삼거리_진흥로_진입,0,,,5,11110,100,,,POINT (196591.1935999999 556071.5540999994),37.604216022865984,126.96139622245977
33,1000028300,101,신영삼거리_세검정길_진,0,,,5,11110,100,,,POINT (196699.5875000004 556050.0429999996),37.60402260514071,126.96262384973816
34,1000012700,101,독립문_일반국도48호선_,0,,,5,11110,100,,,POINT (196568.5732000005 552551.1278000008),37.57249716530848,126.9611565396262
35,1000012600,101,독립문_일반국도48호선_,0,,,5,11110,100,,,POINT (196572.9204000002 552539.7603999991),37.572394761802634,126.96120580267755
36,1000010200,101,세종로사거리_일반국도4,0,,,5,11110,100,,,POINT (197941.2079999996 552371.4918000009),37.57088274374556,126.9766951519152
37,1000010300,101,세종로사거리_일반국도4,0,,,5,11110,100,,,POINT (197990.8438999997 552370.5921999998),37.570874747970116,126.97725701639628
38,1000008000,101,세종로사거리_일반국도6,0,,,5,11110,100,,,POINT (198035.1553999996 552288.3738000002),37.570134059636096,126.97775882819181
