Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,WORKSTATE,DEPT_CODE,STNL_REG,geometry,latitude,longitude
1000020500,101,일반국도48호선-매동길,0,,5,11110,100,POINT (197347.1973000001 552954.8278000001),37.57613705,126.969969
1000009600,101,종로1가_일반국도6호선_,0,,5,11110,100,POINT (198560.9389000004 552304.0643000007),37.5702764,126.9837104
1000007800,101,종로1가_일반국도6호선_,0,,5,11110,100,POINT (198560.8530000001 552292.0646000002),37.57016828,126.9837095
1000007700,101,종로1가_일반국도6호선_,0,,5,11110,100,POINT (198428.4726999998 552292.9294000007),37.57017586,126.982211
1000009500,101,종로1가_일반국도6호선_,0,,5,11110,100,POINT (198428.3058000002 552304.9283000007),37.57028397,126.9822091
1000010700,101,종로1가_우정국로_진입,0,,5,11110,100,POINT (198505.9486999996 552356.8567999993),37.57075197,126.9830879
1000010800,101,종로1가_우정국로_진출,0,,5,11110,100,POINT (198493.9551999997 552357.2533),37.57075552,126.9829521
1000009200,101,종로4가_배오개길_진입,0,,5,11110,100,POINT (199801.3247999996 552297.5949000008),37.57021921,126.9977511
1000010400,101,종로4가_일반국도6호선_,0,,5,11110,100,POINT (199733.1937999995 552344.0265999995),37.57063755,126.9969799
1000010900,101,종로4가_일반국도6호선_,0,,5,11110,100,POINT (199737.8335999995 552356.3552999999),37.57074863,126.9970324
1000011600,101,종로4가_창경궁로_진출,0,,5,11110,100,POINT (199794.2103000004 552411.5492000002),37.57124594,126.9976705
1000017300,101,안국동사거리_우정국로_,0,,5,11110,100,POINT (198480.9511000002 552826.6932999995),37.57498513,126.9828039
1000018100,101,안국동사거리_율곡로_진,0,,5,11110,100,POINT (198413.2231000001 552895.5297999997),37.57560523,126.9820371
1000019400,101,경복궁_율곡로_진입,0,,5,11110,100,POINT (198246.1657999996 552926.2221000008),37.57588147,126.9801458
1000018200,101,경복궁_중학천길_진출,0,,5,11110,100,POINT (198166.6432999996 552870.4609999992),37.57537891,126.9792458
1000021000,101,경복궁_삼청동길_진입,0,,5,11110,100,POINT (198198.3722000001 553000.7393999994),37.57655277,126.9796046
1000020300,101,경복궁_율곡로_진출,0,,5,11110,100,POINT (198243.9298999999 552938.1864999998),37.57598926,126.9801205
1000020600,101,경복궁_삼청동길_진출,0,,5,11110,100,POINT (198186.3735999996 553000.9242000002),37.57655441,126.9794688
1000020200,101,경복궁_일반국도48호선_,0,,5,11110,100,POINT (198112.1160000004 552916.6149000004),37.57579464,126.9786284
1000018300,101,경복궁_중학천길_진입,0,,5,11110,100,POINT (198162.4798999997 552890.1140999999),37.57555597,126.9791986
1000019100,101,경복궁_일반국도48호선_,0,,5,11110,100,POINT (198113.8558 552904.7416999992),37.57568767,126.9786481
1000016700,101,광화문_일반국도48호선_,0,,5,11110,100,POINT (197933.1645999998 552799.7471999992),37.57474129,126.9766029
1000016900,101,광화문_일반국도48호선_,0,,5,11110,100,POINT (197983.1710000001 552812.7117999997),37.57485821,126.9771689
1000018900,101,광화문_일반국도48호선_,0,,5,11110,100,POINT (198051.7613000004 552895.5888999999),37.57560507,126.9779452
1000018500,101,광화문_일반국도48호선_,0,,5,11110,100,POINT (197847.5979000004 552895.6696000006),37.57560534,126.975634
1000027900,102,상명대학교,1,,5,11110,100,POINT (196037.5208999999 555797.0285),37.60174036,126.9551275
1000029000,101,동양카센타,0,,5,11110,100,POINT (197524.7247000001 556424.5618999992),37.60739957,126.971967
1000029700,101,가나힐하우스,0,,5,11110,100,POINT (197869.3452000003 556720.8958000001),37.61007037,126.975869
1000029900,101,평창동삼성아파트,0,,5,11110,100,POINT (198090.8019000003 556837.5772999991),37.61112215,126.9783769
1000030600,101,북악휴계실,0,,5,11110,100,POINT (198067.4633999998 557097.8837000001),37.61346743,126.9781119
1000030400,101,가나아트센타,0,,5,11110,100,POINT (197792.3513000002 556998.7089000009),37.61257326,126.9749962
1000011500,101,탑골공원,1,,5,11110,100,POINT (198909.7762000002 552395.1176999994),37.57109727,126.987659
1000013000,101,석탄회관,0,,5,11110,100,POINT (198244.5686999997 552547.9559000004),37.5724733,126.9801287
1000010500,101,종묘귀금속전문백화점,1,,5,11110,100,POINT (199684.9230000004 552345.8888000008),37.57065431,126.9964334
1000013100,104,사직터널(남측),0,,5,11110,100,POINT (196813.1028000005 552545.9335999992),37.57245124,126.9639246
1000015900,104,중앙지하차도(서측),0,,5,11110,100,POINT (197846.4228999997 552735.7046000008),37.57416407,126.9756211
1000017000,101,운현초교입구,1,,5,11110,100,POINT (198835.1529999999 552843.4893999994),37.57513698,126.9868136
1000018600,101,도서출판집문당,0,,5,11110,100,POINT (199170.8676000005 552902.3779000007),37.57566793,126.9906139
1000016200,104,중앙지하차도(동측),0,,5,11110,100,POINT (198059.5717000002 552761.3162999991),37.5743953,126.978034
