Division,Operation,RoadName,Start,End,StartX,StartY,EndX,EndY,Distance,Direction
중앙로,전일제,왕산로,망우역4,구리시계,127.0958271,37.5998682,127.1340152,37.574652,2.2,양방향
중앙로,전일제,시흥대로,동대문R,청량리R,127.0330432,37.5836082,127.0467693,37.5813852,3.4,양방향
중앙로,전일제,대방로,대림3,기아대교 앞,126.8935124,37.5003282,126.8499396,36.2635327,6.5,양방향
중앙로,전일제,마포로,대림아파트 앞(대방동 383),대림3,126.92176,37.5091006,126.8935124,37.5003282,2.5,양방향
중앙로,전일제,충정로,마포대교북단,충정로삼거리,126.9417426,37.5317257,126.9597548,37.5593452,3.4,양방향
중앙로,전일제,한강로,충정로삼거리,미동초교,126.9597548,37.5593452,126.9631169,37.5637165,0.5,양방향
중앙로,전일제,한강로,한강대교노들섬,서울역남단,126.956672,37.5175219,126.9694661,37.5536109,4.1,양방향
중앙로,전일제,송파대로,서울역남단,서울역북단,126.9694661,37.5536109,126.9611715,37.5534058,0.5,양방향
중앙로,전일제,"통일,의주로",잠실대교 남단,성남시계,127.0970168,37.5147934,127.1059307,37.400313,6.3,양방향
중앙로,전일제,"통일,의주로",고양시계,박석고개,126.9977085,37.5358904,126.9298579,37.5360101,2.4,양방향
중앙로,전일제,"통일,의주로",박석고개,녹번역삼거리,126.9298579,37.5360101,126.933534,37.6009507,3.3,양방향
중앙로,전일제,공항로,녹번역3,서소문4,126.9330813,37.6008161,126.9728568,37.5634662,5.4,양방향
중앙로,전일제,공항로,등촌중학교,양화교,126.8572775,37.5523427,126.8831432,37.5489353,2.5,양방향
중앙로,전일제,공항로,발산역4,등촌중학교,126.8372723,37.5586252,126.8572775,37.5523427,2.3,양방향
중앙로,전일제,공항로,김포공항입구,공항전화국,126.8049365,37.5617588,126.8306135,37.5491489,1,양방향
중앙로,전일제,공항로,강서구청입구4(북단),강서구청입구4(북단),126.811984,37.556001,126.811984,37.556001,0.1,양방향
중앙로,전일제,공항로,발산역4,공항전화국,126.8372723,37.5586252,126.8306135,37.5523427,1.8,양방향
중앙로,전일제,노량진로,대방역3,한강대교남단,126.9248601,37.5131213,126.8306135,37.5493797,2.8,양방향
중앙로,전일제,신반포로,이수교차로,논현역4,126.982782,37.4998251,127.0189013,37.5109042,3.5,양방향
중앙로,전일제,남대문로,숭례문교차로,서울역북단,126.9731133,37.5599568,127.0035804,37.5109412,0.5,일방향
중앙로,전일제,동작대로,이수교차로,사당역,126.982782,37.4998251,126.9330294,37.5015873,2.7,양방향
중앙로,전일제,과천대로,사당역,서울시계,126.9330294,37.5015873,127.0035804,37.5110067,2.1,양방향
중앙로,전일제,신촌로,신촌R,아현교회,126.9400609,37.5580383,126.9496137,37.558776,1.2,양방향
중앙로,전일제,양화로,양화대교,신촌R,126.9015092,37.5418751,126.9400609,37.5580383,4,양방향
중앙로,전일제,새문안로,미동초교,세종로4,126.9631169,37.5637165,126.9761817,37.5757738,1.2,양방향
중앙로,전일제,종로,세종대로4,동대문R,126.9726211,37.5580095,127.0330432,37.5836082,2.8,양방향
