"StationID","NumOfBus","NumOfPeo","X","Y"
100900131,2,456,126.9853617134,37.578791085
100900133,1,702,126.96585932,37.5741644592
100900134,1,46,126.9798729651,37.6159439291
100900135,1,2180,126.981847891,37.5858776706
100900137,1,2850,127.005404874,37.5749766498
100900138,1,4906,126.9689039095,37.5762206893
100900139,1,94,126.9783685436,37.616304998
100900140,1,2049,126.9668944502,37.5810265604
100900141,1,2545,126.9822105151,37.5846846831
100900142,1,43,126.9569583018,37.6000210109
100900143,1,6526,127.0025801998,37.5759841652
100900144,1,60,126.9869813803,37.5752716136
100900145,1,2113,126.9678156705,37.5767556306
100900146,1,165,126.9733337071,37.6089952635
100900147,1,6326,126.9855618026,37.5862656518
100900148,1,2870,127.0171508787,37.5797846496
100900149,1,2000,126.9683376852,37.5685315243
100900150,1,194,126.9778558349,37.6110083234
100900151,1,2575,126.9999909413,37.5873892922
100900152,1,930,126.9574023475,37.5998544708
100900153,1,1011,126.9852486243,37.583863308
100900154,1,666,126.9668249505,37.5692429716
100900155,1,48,126.9781122953,37.6132637884
100900156,1,115,126.9594704955,37.5995632468
100900157,1,1342,126.9852205387,37.5827432497
100900158,1,0,127.0155054665,37.5783593519
100900159,1,252,126.9658057546,37.569988785
100900160,1,84,126.9782816235,37.6152615256
100900161,1,472,126.9629663842,37.5976847268
100900162,1,1253,126.9851687446,37.5812807738
100900163,1,1464,127.0155607478,37.5774150014
100900164,1,613,126.9639860521,37.571188468
100900165,1,120,126.9793481616,37.6130468496
100900166,1,126,126.9638602023,37.5947600723
100900167,1,385,126.9879589184,37.5792554401
100900168,1,757,126.9851293823,37.5799426497
100900169,1,4596,126.9965690016,37.5878406881
100900170,1,169,126.9568173576,37.600904926
100900171,1,2567,126.9971407875,37.5890742944
100900172,1,212,126.9861073451,37.5875308468
100900173,1,1541,127.0162353711,37.5818978359
100900174,1,1684,126.9795533717,37.5792551846
100900176,2,3891,126.977317218,37.5719018726
100900177,1,5120,126.9724733176,37.5770722054
100900178,1,1448,126.9816468946,37.5882276807
100900179,1,2009,126.9796650539,37.5765879752
100900180,2,12,126.9557163281,37.6012424257
100900181,1,567,126.9637682263,37.5929353403
100900182,1,329,126.9567768927,37.6082046142
100900184,1,759,126.9569839726,37.6046102563
100900186,1,6316,126.9597453483,37.5728784775
100900187,1,694,126.9634445669,37.5739763092
100900188,1,231,126.9652272769,37.5675295356
100900189,2,7669,126.9861183272,37.5771728174
100900191,1,10658,127.0000249058,37.570671358
100900192,2,3184,127.0061400046,37.571176058
100900193,1,0,0.0,0.0
100900195,1,2641,127.0007449647,37.5761256624
100900197,1,276,126.996704891,37.5876532654
100900198,1,1018,126.9993659265,37.5833082555
100900199,1,82,126.998853007,37.5832668015
100900200,1,5324,127.0010032298,37.5859196111
100900201,1,3550,126.9993137839,37.5896275957
100900202,1,253,126.9896320737,37.5892576959
100900203,1,555,126.989734001,37.5891522774
100900204,1,4175,126.9900035953,37.5884638684
100900205,1,3320,127.0142453819,37.5726943506
100900206,1,1633,127.0156926979,37.5803534405
100900207,1,1991,127.0153885503,37.5769032044
100900210,1,2498,127.0155692785,37.5803228198
100900211,2,722,126.9832427053,37.5715937879
100900213,1,610,126.9831199261,37.5738654222
100900214,1,4340,126.9594077577,37.5732838531
100900215,1,408,126.9612800199,37.5721522968
101000001,5,91,126.9875299251,37.5649848069
101000002,6,15679,126.9878515151,37.5643504711
101000003,6,6434,126.9723557945,37.5550251461
101000004,20,785,126.9725027692,37.5554748264
101000005,13,4968,126.9727617448,37.5553876977
101000006,15,1063,126.9728547738,37.5554794133
101000007,13,2616,126.9731162301,37.5554839786
101000008,20,2451,126.9737783904,37.5586388574
101000009,5,4362,126.9626582054,37.551787064
101000010,6,1943,126.9662339013,37.5544459527
101000011,6,5166,126.9679392973,37.5565519034
101000012,1,1770,126.9693762438,37.5563255909
101000013,7,1878,126.9692772863,37.556997907
101000014,6,652,126.9691354395,37.5583836266
101000015,8,2902,126.964480544,37.5595131906
101000016,4,2771,126.967766091,37.5604386551
101000017,8,1254,126.9681135141,37.5606234736
101000018,13,2403,126.9691267228,37.5630494858
101000020,10,4999,126.9677868059,37.5649062803
101000021,6,3731,126.9733602844,37.5598597457
101000022,3,380,126.9732932811,37.5582968367
101000023,5,2475,126.9737375955,37.5587713091
101000025,3,1607,126.9760823693,37.5533418143
101000026,1,3149,126.9744042993,37.5587327085
101000027,20,0,126.97402,37.558487
101000028,1,2129,126.973698264,37.557960316
101000029,3,767,126.9762051934,37.5586132397
101000030,2,2134,126.9756720863,37.5585581643
101000031,3,3308,126.9800597585,37.561191081
101000032,22,2993,126.97792,37.561175
101000033,11,3205,126.9765581213,37.5623244458
101000034,11,4110,126.9759075283,37.5620517519
101000035,5,2338,126.9761427477,37.5627627622
101000036,5,3134,126.9748872517,37.5632067407
101000037,6,5670,126.9753398851,37.5636754044
101000039,8,2212,126.9773647051,37.5683632936
101000040,18,1379,126.9829289124,37.5675190047
101000041,18,2009,126.9820649381,37.5644917964
101000042,6,1647,126.9815478394,37.5628907847
101000043,24,4102,126.982008,37.562885
101000045,3,2423,126.981512142,37.5607641991
101000046,11,2058,126.9777650546,37.5582675237
101000047,12,3073,126.9784645011,37.5584920257
101000048,4,4575,126.982669512,37.558455773
101000049,4,3840,126.9827190831,37.5594623018
101000050,9,2211,126.9852407503,37.5606538896
101000051,8,2088,126.9844913623,37.5608934844
101000052,12,1587,126.9917289172,37.5612168046
101000053,9,1801,126.9924839556,37.5608717364
101000054,9,1964,126.9949175906,37.5612232926
101000055,9,1631,126.9965577393,37.5619180947
101000056,2,704,126.9931119513,37.5633461766
101000057,9,3050,126.9853902774,37.5658757422
101000058,6,2765,126.9811712097,37.5661382638
101000059,10,1476,126.9865233528,37.566246226
101000060,8,416,126.9888281722,37.5660094793
101000061,5,124,126.9903755882,37.5663556351
101000062,6,139,126.9913276421,37.5661205237
101000063,5,2048,126.9962179152,37.5666470197
101000064,10,172,126.9968473297,37.5664010399
101000065,5,455,126.9981401348,37.5647745951
101000066,4,127,126.999258524,37.5668182855
101000067,6,93,127.0011150411,37.5666200422
101000068,3,1266,127.0024044565,37.5679608485
101000069,2,1916,127.0025945654,37.5658243542
101000070,6,172,127.006377762,37.5660747142
101000071,8,2453,127.0072096931,37.5650528273
101000072,7,938,127.0079579375,37.5649951093
101000073,4,166,127.0058434821,37.5664631128
101000074,12,444,127.0083555318,37.5673541422
101000075,15,505,127.0090234611,37.5676036956
101000077,9,3277,127.0140458533,37.5651927824
101000078,7,3365,127.0147408667,37.5650178857
101000079,3,482,127.0157558376,37.5683481924
101000080,2,6465,127.0161294881,37.5686950625
101000081,8,3496,127.0187426545,37.5657282804
101000082,9,3771,127.0194795301,37.5654920748
101000083,10,3335,127.022057125,37.5655637088
101000084,7,2301,127.0225482999,37.5651806516
101000085,5,1335,127.0150958594,37.5627660096
101000086,4,1216,127.0151908517,37.5623100443
101000087,4,1725,127.0132161263,37.5589483023
101000088,5,2059,127.0130316796,37.559257398
101000089,5,2028,127.0111465614,37.5559812136
101000090,4,2556,127.0113796895,37.5557496102
101000091,2,3572,127.012012,37.553399
101000092,2,7722,127.0118693353,37.55292373
101000093,4,6580,127.0099566945,37.5538646495
101000094,6,4087,127.0092978444,37.5528509718
101000095,5,2402,127.0077186988,37.5502676468
101000096,4,2611,127.0073984027,37.550227118
101000097,5,3409,127.0077840642,37.5584811178
101000098,5,3666,127.0078281581,37.5580017329
101000099,5,2865,127.0059098097,37.5606213237
101000100,5,2761,127.0056290943,37.5606663921
101000101,5,1207,127.0039664281,37.5633219814
101000102,8,1970,127.0032725375,37.5635049245
101000103,8,1207,126.9999660413,37.5623804057
101000104,5,842,126.9998890677,37.5626876784
101000105,1,7100,127.001094708,37.551481823
101000106,5,1421,127.0009473128,37.5516853176
101000107,2,1742,127.014656108,37.5599600605
101000108,2,3515,127.014219181,37.5599303778
101000109,2,1384,127.0183371082,37.5599370188
101000110,2,968,127.0182736903,37.5598126778
101000111,4,324,126.980093,37.555737
101000113,3,3697,126.9737449241,37.5540144353
101000114,21,3703,126.978580386,37.5609394169
101000115,2,470,126.9839798009,37.5552651842
101000116,2,625,126.9875026883,37.5586203825
101000117,4,2316,127.0053855469,37.5581343304
101000119,4,92,126.9836249076,37.5684616458
101000120,1,1607,126.9885301722,37.5678404706
101000121,1,601,126.9971755363,37.5684843738
101000122,1,1266,127.0006713113,37.5691385986
101000123,1,701,127.0044818377,37.5693746016
101000124,2,2246,127.0138508174,37.5695135434
101000125,2,1140,127.018825398,37.5706509342
101000128,4,2449,126.975585201,37.5611965482
101000130,5,591,127.0091092289,37.5654113309
101000131,4,4659,127.0060242348,37.5478041512
101000132,5,4188,127.0058182349,37.5474977891
101000135,1,449,126.9938077118,37.5682058077
101000136,1,2483,127.0090361408,37.5694851752
101000137,2,1388,126.9933464247,37.5616007726
101000141,11,6119,126.9824738253,37.567557685
101000147,8,1238,127.0247418084,37.5649390497
101000148,1,10642,126.9825866082,37.5645020967
101000149,4,618,126.9988218165,37.5506986166
101000150,2,1744,127.0187298806,37.5585545048
101000151,2,721,127.0191882415,37.5579233138
101000152,2,1529,127.0234023516,37.5668556166
101000153,2,1713,127.0238272352,37.564476647
101000154,2,4865,127.0241443772,37.5615426236
101000155,2,1086,127.0243472269,37.5622544456
101000156,2,816,127.0241144644,37.5644570923
101000157,1,944,126.9675115679,37.5652819605
101000160,2,293,126.9803184727,37.5544851841
101000163,1,3293,127.0019301271,37.5678058693
101000164,2,2963,127.0221630322,37.5715126997
101000165,3,242,127.0086110484,37.5645499236
101000166,3,1366,127.0094396368,37.5643254882
101000168,1,8989,127.0232394785,37.5709448049
101000173,2,0,126.9788338327,37.5613170207
101000226,1,0,126.9767623328,37.568758756
101000227,1,0,126.97677807,37.565471574
101000229,1,0,126.9676372948,37.5651089852
101000230,2,0,126.9728595843,37.5578195556
101000234,3,0,126.9865842732,37.5610964868
101000244,3,0,126.9955605031,37.5617180187
101000245,2,0,126.9787309255,37.560967378
101000246,2,0,126.982612619,37.5646093306
101000247,1,0,126.9692683016,37.5628476779
101000248,1,0,126.9673182162,37.5647772952
101000250,1,0,126.9713325533,37.5581165556
101000252,4,6866,127.0876755037,37.5583163621
101000254,1,1710,126.9792899798,37.561408112
101000255,2,0,127.0089472544,37.5645913489
101000256,2,0,127.0053974501,37.5662333554
101000257,2,0,127.0034786985,37.5665506121
101000258,1,330,127.0145727542,37.5678671611
101000261,1,952,127.0119962039,37.567700749
101000262,8,2880,126.9678855112,37.5669222408
101000263,5,2936,126.97323173,37.555341632
101000265,3,940,126.976717,37.556568
101000266,2,910,126.9766258827,37.5561983921
101000268,2,0,126.9720684843,37.5606109591
101000269,2,640,126.9720456834,37.5580158041
101000270,2,0,126.9759752961,37.5554665731
101000271,1,0,127.0098978294,37.5537889625
101000273,1,0,127.0026102024,37.5597717116
101000275,2,0,126.9767760218,37.5684226513
101000276,1,0,126.9746302112,37.5634526841
101000277,1,0,126.9803053067,37.5658047183
101000278,1,0,0.0,0.0
101000279,1,0,126.9779059345,37.564156195
101000286,1,0,126.9773647244,37.568299316
101000287,1,0,126.9755365701,37.5610667807
101000288,1,0,126.9762665716,37.5613760047
101000289,2,0,127.009245066,37.5653851887
101000290,9,3642,126.9768355729,37.5662122834
101000293,2,234,127.0025921056,37.5601745008
101000294,5,2449,127.0096865168,37.556408461
101000295,3,1339,127.009322,37.556256
101000296,1,0,127.0094145732,37.5681390561
101000297,1,0,127.0073707299,37.5645013879
101000298,1,0,126.979685306,37.5642485497
101000299,1,0,127.0026364414,37.5649993215
101000300,1,0,127.0067839769,37.5624042727
101000301,4,2298,126.9787630365,37.5652072923
101000304,11,3069,126.966565,37.565579
101000305,8,4699,126.966893,37.566137
101900001,1,365,127.0170566338,37.5537755301
101900002,1,58,127.0172165788,37.5553289935
101900003,1,1671,126.9679526472,37.5609334062
101900004,1,978,126.9709923515,37.5597519575
101900005,1,36058,127.0215804936,37.5653655565
101900006,3,3702,126.9774317996,37.5673567863
101900007,2,2682,126.9762857869,37.5614634146
101900008,2,917,126.9760669915,37.5624960233
101900009,2,1489,126.9766061418,37.5686550996
101900010,2,7925,127.0121963673,37.5525416326
101900011,2,5726,126.9767938672,37.565635576
101900012,2,2477,126.9713291252,37.5582012576
101900013,1,6068,126.969248154,37.5558357207
101900017,1,829,126.969120688,37.558472831
101900018,1,10438,127.0120186912,37.5526524854
101900019,1,2152,127.010785999,37.5516046313
101900020,1,691,127.0121192688,37.5517045235
101900021,1,286,127.0124984104,37.5516450117
101900022,1,6513,127.0122830052,37.5494256375
101900023,1,1943,127.012409789,37.5495860191
102000001,17,0,126.9631917349,37.5240898013
102000002,16,1591,126.9631848403,37.5243060629
102000003,18,2045,126.966207,37.527293
102000004,18,2286,126.9666192358,37.527920489
102000005,16,1410,126.9702350163,37.5314970129
102000006,16,1056,126.9705640624,37.5320503694
102000007,17,2510,126.9740117531,37.5352698987
102000008,17,2124,126.9741608708,37.5359845015
102000009,21,2925,126.9725377982,37.543295633
102000010,18,2113,126.9722320769,37.5437560216
102000011,21,2503,126.9722373211,37.5509755993
102000012,23,1613,126.9717081909,37.5495337218
102000018,6,6220,126.9719271804,37.542006922
102000019,4,2639,126.9716794679,37.5416932813
102000026,1,6430,126.9670860345,37.5286118013
102000029,1,3495,126.9639344725,37.5252902941
102000030,3,1727,126.9693404702,37.5524743044
102000031,2,1089,126.969221961,37.5516704971
102000032,3,3556,126.9701330652,37.5488115567
102000033,2,3199,126.9698626298,37.548679027
102000034,2,3890,126.9707772395,37.5453812474
102000035,2,3405,126.9702634348,37.5454135586
102000036,1,1910,126.971032,37.540813
102000037,1,1607,126.9706761392,37.5405702704
102000038,2,635,126.9660271002,37.5337792589
102000039,1,2854,126.9654965792,37.5334231716
102000040,2,1450,126.9619640523,37.5332725045
102000041,2,1531,126.9622629103,37.5329995678
102000042,2,1082,126.9585777029,37.5327640474
102000043,2,1566,126.9582528287,37.5329991195
102000044,3,4419,126.9560108274,37.5318800435
102000045,5,2370,126.9691858135,37.5405032098
102000046,7,1369,126.9690615428,37.5399994643
102000047,5,2109,126.9669290534,37.5386139009
102000048,6,1185,126.9653759615,37.5373338982
102000049,8,811,126.9636632444,37.5363187485
102000050,7,1582,126.9629911361,37.536237441
102000051,5,1401,126.9610704217,37.5349338369
102000052,5,2156,126.9581798302,37.5340407624
102000053,5,1885,126.9583248022,37.5337957151
102000054,3,5243,126.9886572147,37.543763247
